name,rating,categories,address,zip_code,embedding_text
Bronson Bierhall,4.4,Bar,"4100 Fairfax Dr, Arlington",22201,"Bronson Bierhall. Category: Bar. Known for Bar dishes. Located at 4100 Fairfax Dr, Arlington. Rated 4.4 stars. A popular spot for people craving Bar or similar foods."
True Food Kitchen,4.4,Meal Takeaway,"4238 Wilson Blvd Suite 1110, Arlington",22201,"True Food Kitchen. Category: Meal Takeaway. Known for Meal Takeaway dishes. Located at 4238 Wilson Blvd Suite 1110, Arlington. Rated 4.4 stars. A popular spot for people craving Meal Takeaway or similar foods."
Cowboy Cafe,4.4,Bar,"4792 Langston Blvd., Arlington",22201,"Cowboy Cafe. Category: Bar. Known for Bar dishes. Located at 4792 Langston Blvd., Arlington. Rated 4.4 stars. A popular spot for people craving Bar or similar foods."
Ragtime Restaurant,4.4,Bar,"1345 N Courthouse Rd, Arlington",22201,"Ragtime Restaurant. Category: Bar. Known for Bar dishes. Located at 1345 N Courthouse Rd, Arlington. Rated 4.4 stars. A popular spot for people craving Bar or similar foods."
The Salt Line,4.4,Restaurant,"4040 Wilson Blvd, Arlington",22201,"The Salt Line. Category: Restaurant. Known for Restaurant dishes. Located at 4040 Wilson Blvd, Arlington. Rated 4.4 stars. A popular spot for people craving Restaurant or similar foods."
Big Buns,4.4,Restaurant,"4251 Campbell Ave, Arlington",22201,"Big Buns. Category: Restaurant. Known for Restaurant dishes. Located at 4251 Campbell Ave, Arlington. Rated 4.4 stars. A popular spot for people craving Restaurant or similar foods."
Quarterdeck,4.4,Restaurant,"1200 Fort Myer Dr, Arlington",22201,"Quarterdeck. Category: Restaurant. Known for Restaurant dishes. Located at 1200 Fort Myer Dr, Arlington. Rated 4.4 stars. A popular spot for people craving Restaurant or similar foods."
Busboys And Poets,4.4,"Cafe, Book Store, Bar","4251 Campbell Ave, Arlington",22201,"Busboys And Poets. Category: Cafe, Book Store, Bar. Known for Cafe, Book Store, Bar dishes. Located at 4251 Campbell Ave, Arlington. Rated 4.4 stars. A popular spot for people craving Cafe, Book Store, Bar or similar foods."
Grand Cru Wine Bar and Bistro,4.3,Bar,"4301 Wilson Blvd #100, Arlington",22201,"Grand Cru Wine Bar and Bistro. Category: Bar. Known for Bar dishes. Located at 4301 Wilson Blvd #100, Arlington. Rated 4.3 stars. A popular spot for people craving Bar or similar foods."
Bob & Edith's Diner,4.2,Restaurant,"539 23rd St S, Arlington",22201,"Bob & Edith's Diner. Category: Restaurant. Known for Restaurant dishes. Located at 539 23rd St S, Arlington. Rated 4.2 stars. A popular spot for people craving Restaurant or similar foods."
Uncle Julio's,4.1,Restaurant,"4301 Fairfax Dr #100, Arlington",22201,"Uncle Julio's. Category: Restaurant. Known for Restaurant dishes. Located at 4301 Fairfax Dr #100, Arlington. Rated 4.1 stars. A popular spot for people craving Restaurant or similar foods."
Dan and Brads,3.8,Restaurant,"950 N Stafford St, Arlington",22201,"Dan and Brads. Category: Restaurant. Known for Restaurant dishes. Located at 950 N Stafford St, Arlington. Rated 3.8 stars. A popular spot for people craving Restaurant or similar foods."
