name,rating,categories,address,zip_code,embedding_text
Bollywood Bistro Express,4.4,Restaurant,"4238 Wilson Blvd, Arlington",22201,"Bollywood Bistro Express. Category: Restaurant. Known for Restaurant dishes. Located at 4238 Wilson Blvd, Arlington. Rated 4.4 stars. A popular spot for people craving Restaurant or similar foods."
Urban Tandoor,4.3,Restaurant,"801 N Quincy St, Arlington",22201,"Urban Tandoor. Category: Restaurant. Known for Restaurant dishes. Located at 801 N Quincy St, Arlington. Rated 4.3 stars. A popular spot for people craving Restaurant or similar foods."
Masala Express,4.1,Restaurant,"2622 N Pershing Dr A, Arlington",22201,"Masala Express. Category: Restaurant. Known for Restaurant dishes. Located at 2622 N Pershing Dr A, Arlington. Rated 4.1 stars. A popular spot for people craving Restaurant or similar foods."
Raaga Restaurant,4.1,Restaurant,"5872 Leesburg Pike, Falls Church",22201,"Raaga Restaurant. Category: Restaurant. Known for Restaurant dishes. Located at 5872 Leesburg Pike, Falls Church. Rated 4.1 stars. A popular spot for people craving Restaurant or similar foods."
City Kabob (Arlington),4.1,Restaurant,"Right Side of Mcdonald's Behind 7-Eleven, 3007 Columbia Pike, Arlington",22201,"City Kabob (Arlington). Category: Restaurant. Known for Restaurant dishes. Located at Right Side of Mcdonald's Behind 7-Eleven, 3007 Columbia Pike, Arlington. Rated 4.1 stars. A popular spot for people craving Restaurant or similar foods."
Kabobistan,4.1,Restaurant,"3400 VA-244, Arlington",22201,"Kabobistan. Category: Restaurant. Known for Restaurant dishes. Located at 3400 VA-244, Arlington. Rated 4.1 stars. A popular spot for people craving Restaurant or similar foods."
Ravi Kabob House,4.0,Restaurant,"305 N Glebe Rd, Arlington",22201,"Ravi Kabob House. Category: Restaurant. Known for Restaurant dishes. Located at 305 N Glebe Rd, Arlington. Rated 4 stars. A popular spot for people craving Restaurant or similar foods."
Kabob Palace,4.0,Restaurant,"2315 S Eads St, Arlington",22201,"Kabob Palace. Category: Restaurant. Known for Restaurant dishes. Located at 2315 S Eads St, Arlington. Rated 4 stars. A popular spot for people craving Restaurant or similar foods."
Kohinoor Dhaba,4.0,Restaurant,"2800 S Eads St, Arlington",22201,"Kohinoor Dhaba. Category: Restaurant. Known for Restaurant dishes. Located at 2800 S Eads St, Arlington. Rated 4 stars. A popular spot for people craving Restaurant or similar foods."
Ravi Chatkhara,3.9,Restaurant,"303 N Glebe Rd, Arlington",22201,"Ravi Chatkhara. Category: Restaurant. Known for Restaurant dishes. Located at 303 N Glebe Rd, Arlington. Rated 3.9 stars. A popular spot for people craving Restaurant or similar foods."
Delhi Dhaba,3.9,Meal Takeaway,"2424 Wilson Blvd, Arlington",22201,"Delhi Dhaba. Category: Meal Takeaway. Known for Meal Takeaway dishes. Located at 2424 Wilson Blvd, Arlington. Rated 3.9 stars. A popular spot for people craving Meal Takeaway or similar foods."
Minerva Express,3.7,Restaurant,"4815 Lee Hwy, Arlington",22201,"Minerva Express. Category: Restaurant. Known for Restaurant dishes. Located at 4815 Lee Hwy, Arlington. Rated 3.7 stars. A popular spot for people craving Restaurant or similar foods."
Deshi Spice,3.7,Restaurant,"5169 Langston Blvd., Arlington",22201,"Deshi Spice. Category: Restaurant. Known for Restaurant dishes. Located at 5169 Langston Blvd., Arlington. Rated 3.7 stars. A popular spot for people craving Restaurant or similar foods."
Gharer Khabar,3.5,Restaurant,"5157 Lee Hwy, Arlington",22201,"Gharer Khabar. Category: Restaurant. Known for Restaurant dishes. Located at 5157 Lee Hwy, Arlington. Rated 3.5 stars. A popular spot for people craving Restaurant or similar foods."
Aladdin's kitchen VA,3.5,Restaurant,"5169 Langston Blvd., Arlington",22201,"Aladdin's kitchen VA. Category: Restaurant. Known for Restaurant dishes. Located at 5169 Langston Blvd., Arlington. Rated 3.5 stars. A popular spot for people craving Restaurant or similar foods."
